"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"30/12/2025","1,900.27","1,884.24","1,900.27","1,869.58","468.10M","0.85%"
"29/12/2025","1,884.24","1,861.57","1,884.33","1,861.57","408.52M","1.22%"
"26/12/2025","1,861.57","1,873.79","1,873.79","1,811.50","794.51M","-0.65%"
"25/12/2025","1,873.79","1,922.80","1,944.64","1,873.79","534.64M","-2.55%"
"24/12/2025","1,922.80","1,907.33","1,929.06","1,890.87","588.63M","0.81%"
"23/12/2025","1,907.33","1,885.64","1,915.95","1,885.64","613.66M","1.15%"
"22/12/2025","1,885.64","1,831.78","1,885.64","1,831.78","641.79M","2.94%"
"19/12/2025","1,831.78","1,804.06","1,835.91","1,804.06","535.30M","1.54%"
"18/12/2025","1,804.06","1,798.31","1,804.06","1,787.52","395.33M","0.32%"
"17/12/2025","1,798.31","1,807.62","1,816.56","1,772.02","398.56M","-0.52%"
"16/12/2025","1,807.62","1,765.08","1,818.08","1,745.20","626.47M","2.41%"
"15/12/2025","1,765.08","1,767.08","1,786.98","1,752.85","485.80M","-0.11%"
"12/12/2025","1,767.08","1,827.05","1,834.97","1,756.32","673.34M","-3.28%"
"11/12/2025","1,827.05","1,844.94","1,848.54","1,820.21","377.07M","-0.97%"
"10/12/2025","1,844.94","1,869.86","1,874.16","1,838.87","395.64M","-1.33%"
"09/12/2025","1,869.86","1,880.12","1,897.25","1,845.21","740.83M","-0.55%"
"08/12/2025","1,880.12","1,876.20","1,901.97","1,873.88","472.69M","0.21%"
"05/12/2025","1,876.20","1,878.72","1,899.85","1,870.75","523.96M","-0.13%"
"04/12/2025","1,878.72","1,868.56","1,884.57","1,864.35","654.71M","0.54%"
"03/12/2025","1,868.56","1,847.40","1,878.54","1,842.18","623.62M","1.15%"
"02/12/2025","1,847.40","1,834.56","1,850.83","1,818.22","559.78M","0.70%"
"01/12/2025","1,834.56","1,829.88","1,849.21","1,828.94","428.30M","0.26%"
"28/11/2025","1,829.88","1,827.32","1,838.09","1,816.63","535.32M","0.14%"
"27/11/2025","1,827.32","1,826.35","1,842.81","1,824.61","498.75M","0.05%"
"26/11/2025","1,826.35","1,803.41","1,829.13","1,800.20","588.99M","1.27%"
"25/11/2025","1,803.41","1,813.34","1,828.85","1,797.24","660.87M","-0.55%"
"24/11/2025","1,813.34","1,802.47","1,822.73","1,802.47","414.62M","0.60%"
"21/11/2025","1,802.47","1,804.39","1,807.44","1,781.18","542.43M","-0.11%"
"20/11/2025","1,804.39","1,796.70","1,809.55","1,794.27","496.21M","0.43%"
"19/11/2025","1,796.70","1,810.72","1,813.01","1,789.09","640.56M","-0.77%"
"18/11/2025","1,810.72","1,804.18","1,811.38","1,785.87","570.97M","0.36%"
"17/11/2025","1,804.18","1,780.35","1,804.18","1,780.35","551.44M","1.34%"
"14/11/2025","1,780.35","1,773.67","1,785.02","1,763.42","548.47M","0.38%"
"13/11/2025","1,773.67","1,779.78","1,787.35","1,766.56","539.93M","-0.34%"
"12/11/2025","1,779.78","1,732.96","1,780.02","1,732.96","584.49M","2.70%"
"11/11/2025","1,732.96","1,715.56","1,737.83","1,712.51","512.77M","1.01%"
"10/11/2025","1,715.56","1,735.99","1,752.89","1,715.49","564.50M","-1.18%"
"07/11/2025","1,735.99","1,785.91","1,789.34","1,732.17","715.08M","-2.80%"
"06/11/2025","1,785.91","1,802.59","1,806.12","1,781.31","470.69M","-0.93%"
"05/11/2025","1,802.59","1,812.10","1,823.89","1,794.00","524.23M","-0.52%"
"04/11/2025","1,812.10","1,765.36","1,821.01","1,748.07","948.39M","2.65%"
"03/11/2025","1,765.36","1,798.62","1,811.52","1,763.08","814.17M","-1.85%"
"31/10/2025","1,798.62","1,835.82","1,842.16","1,780.59","643.97M","-2.03%"
"30/10/2025","1,835.82","1,859.11","1,865.78","1,826.75","619.45M","-1.25%"
"29/10/2025","1,859.11","1,853.69","1,877.22","1,848.52","688.91M","0.29%"
"28/10/2025","1,853.69","1,810.65","1,853.81","1,782.26","721.66M","2.38%"
"27/10/2025","1,810.65","1,848.01","1,863.98","1,810.03","779.80M","-2.02%"
"24/10/2025","1,848.01","1,854.20","1,858.98","1,821.20","794.65M","-0.33%"
"23/10/2025","1,854.20","1,847.12","1,871.19","1,837.53","583.04M","0.38%"
"22/10/2025","1,847.12","1,832.98","1,866.34","1,788.37","748.64M","0.77%"
"21/10/2025","1,832.98","1,800.51","1,849.50","1,767.38","1.32B","1.80%"
"20/10/2025","1,800.51","1,908.40","1,908.40","1,799.19","1.39B","-5.65%"
"17/10/2025","1,908.40","1,950.03","1,966.36","1,902.07","1.05B","-2.13%"
"16/10/2025","1,950.03","1,937.17","1,950.26","1,933.02","924.49M","0.66%"
"15/10/2025","1,937.17","1,935.25","1,959.26","1,926.55","966.20M","0.10%"
"14/10/2025","1,935.25","1,935.65","1,971.66","1,925.45","1.28B","-0.02%"
"13/10/2025","1,935.65","1,911.55","1,936.66","1,866.21","1.05B","1.26%"
