Symbol,DATE,Company Common Name,GICS Industry Name,"EPS - Basic - excl Extraordinary Items, Common - Total",Book Value per Share,Beta 5 Year,"Dividend Yield - Common - Net - Issue - %, TTM",Company Market Capitalization,Net Income after Minority Interest,"Shareholders Equity - Common, PoP Avg",Sector_Group
ACB,2024-12-31,Asia Commercial Joint Stock Bank,Banks,3190.45233,16248.3388628173,0.895292391446916,3.31471900925288,122766092716100.0,16789768000000.0,77208819500000.0,Ngân hàng & Tài chính
BAF,2024-12-31,BAF Viet Nam Agriculture JSC,Food Products,1556.02546,12242.0861091482,-0.014436650678983,0.0,10671159634200.0,317047520186.0,2411919338939.5,Hàng tiêu dùng thiết yếu
BCM,2024-12-31,Becamex Investment and Industrial Development Group,Real Estate Management & Development,2010.3776,18926.9323560541,0.669998447262564,1.33991537376587,63445500000000.0,2187091169310.0,19075688153107.5,Bất động sản
BID,2024-12-31,Joint Stock Commercial Bank for Investment and Development of Vietnam,Banks,3203.84764,20250.3464759275,1.01526426325622,0.0,264705344270900.0,25140037000000.0,128788904500000.0,Ngân hàng & Tài chính
BMP,2024-12-31,Binh Minh Plastics JSC,Building Products,12102.9853,33003.5149442705,0.403000091930622,9.31554203872705,14243803212000.0,990761729138.0,2695713836267.0,Công nghiệp
BSR,2024-12-31,Binh Son Refining and Petrochemical JSC,"Oil, Gas & Consumable Fuels",125.69591,11084.8840027409,1.48780921492398,2.91664836123296,79866429991700.0,631130749304.0,56449485952882.0,Năng lượng
BVH,2024-12-31,BaoViet Holdings,Insurance,2843.09876,30433.5970557936,0.811092019756459,1.91681490689955,40085429256000.0,2110496926600.0,21966235110957.5,Ngân hàng & Tài chính
CTG,2024-12-31,Vietnam Joint Stock Commercial Bank for Industry and Trade,Banks,3263.5995,18995.0976700849,1.11828218089249,0.0,267572207000150.0,25348215000000.0,136272289500000.0,Ngân hàng & Tài chính
DCM,2024-12-31,PetroVietnam Ca Mau Fertilizer JSC,Chemicals,2394.03359,19162.0521416736,1.27701194852649,5.65056642645891,16887860000000.0,1419657938042.0,10040091286054.0,Khác
DGC,2024-12-31,Ducgiang Chemicals Group JSC,Chemicals,7392.33135,35173.0220033333,0.848910598527068,2.4442538593482,26660444592600.0,2986646667039.0,12532493967373.0,Khác
DHG,2024-12-31,Dhg Pharmaceutical Joint-Stock Co,Pharmaceuticals,5762.6878,31318.3797161216,0.434814545588373,11.1426741678354,13257651599400.0,778920119960.0,4473844886119.5,Y tế
DPM,2024-12-31,PetroVietnam Fertilizer and Chemicals Corp,Chemicals,620.16349,16181.6896130688,1.21198841399276,5.64573661423759,15298312972500.0,537763664155.0,11186417583364.5,Khác
EIB,2024-12-31,Vietnam Export Import Commercial Joint Stock Bank,Banks,1785.99195,13474.5951194601,0.615467005201176,1.47668393782383,40048493050500.0,3326804000000.0,23772202500000.0,Ngân hàng & Tài chính
FPT,2024-12-31,FPT Corp,IT Services,4299.40467,17611.7950815604,0.642343452027706,0.634821529236412,159959318661900.0,7856767812178.0,27384193422171.0,Công nghệ thông tin
FRT,2024-12-31,FPT Digital Retail JSC,Specialty Retail,1864.41983,11225.935153894,0.337901961461754,0.0,24523457040000.0,317516265617.0,1755533211239.5,Hàng tiêu dùng không thiết yếu
GAS,2024-12-31,Petrovietnam Gas Joint Stock Corp,Gas Utilities,4227.21286,24968.3869753031,0.670076879728921,8.62523901601235,154428784384000.0,10398370049725.0,62148256347312.0,Tiện ích
GEE,2024-12-31,Gelex Electricity JSC,Electrical Equipment,4411.74523,17770.6648571174,0.500223005105684,4.35742564848906,67343991904000.0,1588234634885.0,5915913936660.0,Công nghiệp
GMD,2024-12-31,Gemadept Corp,Transportation Infrastructure,4276.0792,29909.2012964535,0.841077993445941,2.82092937919367,25376458985500.0,1455479595602.0,10481187286244.5,Công nghiệp
GVR,2024-12-31,Viet Nam Rubber Group JSC,Chemicals,851.12298,13245.5219199165,1.79662153200996,0.952435727381347,105800000000000.0,3988716618482.0,51420537264506.5,Khác
HAG,2024-12-31,Hoang Anh Gia Lai JSC,Food Products,997.0,8269.57839822935,1.13243528330542,0.0,22876557058150.0,1013433083000.0,7551605388000.0,Hàng tiêu dùng thiết yếu
HCM,2024-12-31,Ho Chi Minh City Securities Corp,Capital Markets,1152.56161,11578.1540734041,1.70793907146577,5.60328205274453,24946999100100.0,1039655044354.0,9378013450673.0,Ngân hàng & Tài chính
HDB,2024-12-31,Ho Chi Minh City Development Joint Stock Commercial Bank,Banks,2830.70921,12021.6977598477,1.08785309260583,2.39384141176471,129886922528100.0,12762953000000.0,49479981000000.0,Ngân hàng & Tài chính
